avg_work_hours_per_day,avg_rest_hours_per_day,avg_sleep_hours_per_day,avg_exercise_hours_per_day,total_hours_per_day,active_hours,rest_sleep_ratio,exercise_share,gender_Male,occupation_type_Consultant,occupation_type_Driver,occupation_type_Engineer,occupation_type_Entrepreneur,occupation_type_Freelancer,occupation_type_Healthcare Worker,occupation_type_Manager,occupation_type_Manual Laborer,occupation_type_Office Worker,occupation_type_Retail Worker,occupation_type_Scientist,occupation_type_Teacher,occupation_type_Technician,age_at_death
6.27,12.1,5.31,0.32,23.999999999999996,6.59,2.2787189682261833,0.04855841448278991,False,False,False,False,False,False,False,False,False,False,False,False,True,False,80
9.17,7.97,5.12,1.75,24.01,10.92,1.5566403209686872,0.16025639558091617,False,False,False,True,False,False,False,False,False,False,False,False,False,False,94
10.41,2.57,11.01,0.01,24.000000000000004,10.42,0.23342413865357506,0.0009596928061715158,False,False,True,False,False,False,False,False,False,False,False,False,False,False,65
9.47,6.12,7.18,1.23,24.0,10.700000000000001,0.8523675693081381,0.11495326028474202,True,False,False,False,False,False,True,False,False,False,False,False,False,False,81
6.97,7.33,6.77,2.94,24.01,9.91,1.0827177130402197,0.2966700003360242,False,False,False,False,False,False,False,False,False,False,False,False,True,False,83
11.15,3.59,6.27,3.0,24.009999999999998,14.15,0.5725676917754877,0.2120141192922884,True,False,False,False,False,False,False,False,True,False,False,False,False,False,73
8.87,3.21,9.27,2.65,23.999999999999996,11.52,0.34627827979738085,0.2300347022539321,True,False,False,False,False,False,False,True,False,False,False,False,False,False,80
9.83,4.88,8.27,1.02,24.0,10.85,0.5900845719365694,0.09400920792541864,False,False,False,False,False,False,False,False,False,True,False,False,False,False,83
11.36,6.18,6.25,0.2,23.99,11.559999999999999,0.9887998417920253,0.01730103656565428,False,False,False,False,True,False,False,False,False,False,False,False,False,False,97
8.44,6.86,7.21,1.49,24.0,9.93,0.9514561787162027,0.1500503373564615,True,False,False,False,False,False,False,False,False,True,False,False,False,False,83
7.49,7.58,6.73,2.2,24.0,9.690000000000001,1.1262999812332866,0.22703816026437976,True,False,False,False,False,False,False,False,False,False,True,False,False,False,73
6.48,7.82,8.66,1.04,24.0,7.5200000000000005,0.9030022051960503,0.13829785394975347,True,False,False,False,False,False,False,False,False,False,True,False,False,False,88
9.29,3.51,8.21,2.98,23.99,12.27,0.42752735352894594,0.2428687658623663,False,False,False,False,False,False,False,False,False,False,False,False,False,True,89
8.05,7.77,6.0,2.18,24.0,10.23,1.2949997841667025,0.21309870839699824,False,False,False,False,False,False,False,False,False,False,False,False,False,True,83
9.95,8.03,6.01,0.0,23.989999999999995,9.95,1.3361062668708374,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,83
7.97,4.94,8.09,3.0,24.0,10.969999999999999,0.6106303324313558,0.2734730835484883,False,False,False,False,False,True,False,False,False,False,False,False,False,False,78
8.25,9.18,4.04,2.53,24.0,10.78,2.272276665278053,0.23469385577979077,True,False,False,False,False,False,False,False,False,False,False,False,True,False,75
7.06,8.44,8.2,0.3,24.0,7.359999999999999,1.0292681671624189,0.04076086402705652,True,False,False,False,False,False,False,False,False,False,False,False,False,True,74
9.81,5.27,8.59,0.33,24.0,10.14,0.6135040030845166,0.03254437548872037,True,False,False,False,False,False,False,False,False,False,True,False,False,False,68
9.86,4.25,7.79,2.09,23.99,11.95,0.5455711751513254,0.17489538285394288,False,False,False,False,False,False,False,False,False,False,True,False,False,False,81
10.56,3.42,8.41,1.6,23.990000000000002,12.16,0.406658691241535,0.13157893654778482,True,False,False,False,False,False,True,False,False,False,False,False,False,False,86
9.86,6.0,7.65,0.5,24.009999999999998,10.36,0.7843136229655394,0.04826254360400159,False,False,False,False,False,False,False,False,False,False,True,False,False,False,95
9.61,6.78,7.24,0.37,24.000000000000004,9.979999999999999,0.9364639590519394,0.03707414458174905,False,False,False,False,False,False,False,False,True,False,False,False,False,False,77
6.42,7.33,7.79,2.47,24.009999999999998,8.89,0.9409498150256976,0.277840238713134,True,False,False,False,False,False,False,False,False,False,False,False,True,False,87
8.44,7.97,6.36,1.22,23.99,9.66,1.2531444570527581,0.126293982785302,False,False,False,False,False,False,False,False,False,False,False,False,False,True,75
7.06,7.86,7.41,1.67,24.0,8.73,1.0607286017910118,0.1912943652583774,False,False,False,False,False,False,False,False,False,True,False,False,False,False,95
7.14,8.05,7.61,1.2,24.0,8.34,1.0578185206545965,0.14388487483394788,True,False,False,True,False,False,False,False,False,False,False,False,False,False,94
9.21,6.73,8.05,0.0,23.990000000000002,9.21,0.8360247408664919,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,91
11.16,5.37,7.47,0.0,24.0,11.16,0.7188754057730381,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,78
9.07,6.63,6.79,1.51,24.0,10.58,0.9764357913938451,0.14272210371246657,False,False,False,False,False,False,False,False,False,False,True,False,False,False,100
9.75,5.37,6.14,2.74,24.0,12.49,0.8745926914344151,0.21937548283623037,False,False,False,False,False,False,False,False,True,False,False,False,False,False,87
8.02,6.74,6.81,2.43,24.0,10.45,0.9897208531981126,0.2325358629152285,False,False,False,False,False,False,False,False,False,True,False,False,False,False,97
13.73,5.44,4.75,0.07,23.990000000000002,13.8,1.1452629167867545,0.005072463400546131,True,False,False,False,True,False,False,False,False,False,False,False,False,False,65
9.02,4.71,9.36,0.9,23.99,9.92,0.5032050744439024,0.09072579730586722,True,False,False,False,False,True,False,False,False,False,False,False,False,False,71
8.28,6.93,7.45,1.33,23.990000000000002,9.61,0.9302012174226553,0.1383974882000533,False,False,False,False,False,True,False,False,False,False,False,False,False,False,85
6.73,6.81,7.68,2.78,24.0,9.51,0.8867186345418444,0.29232383887236185,False,False,False,False,False,True,False,False,False,False,False,False,False,False,100
7.79,3.5,9.71,2.99,23.990000000000002,10.780000000000001,0.3604531039698142,0.2773654659215709,True,False,False,False,False,False,False,False,False,False,False,False,False,True,85
6.67,9.41,6.62,1.3,24.0,7.97,1.4214499363368676,0.1631116482921395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100
11.49,1.0,8.51,3.0,24.0,14.49,0.11750879935266755,0.207039323185692,False,False,False,False,False,False,False,True,False,False,False,False,False,False,88
10.06,3.77,8.62,1.56,24.009999999999998,11.620000000000001,0.43735493766184025,0.13425127932433054,False,False,False,False,False,False,False,False,False,False,False,True,False,False,73
9.63,6.33,6.73,1.31,24.0,10.940000000000001,0.9405644962014121,0.1197440475553887,True,False,True,False,False,False,False,False,False,False,False,False,False,False,82
8.37,6.15,7.23,2.25,24.0,10.62,0.8506222889872352,0.21186438683009542,True,False,False,False,False,False,False,False,False,False,True,False,False,False,85
8.35,3.59,9.06,3.0,24.0,11.35,0.39624719688220783,0.26431715732888483,True,False,False,False,False,False,True,False,False,False,False,False,False,False,81
7.12,10.74,4.97,1.18,24.009999999999998,8.3,2.1609653599667284,0.14216865757004124,True,False,False,False,False,False,False,False,False,False,False,False,False,False,90
8.11,4.55,8.34,3.0,24.0,11.11,0.5455634837453857,0.2700269783954115,True,False,False,False,False,False,False,False,True,False,False,False,False,False,93
7.52,7.37,8.72,0.39,24.0,7.909999999999999,0.8451833893138315,0.04930467139005419,False,False,False,False,False,False,False,False,False,False,False,True,False,False,72
9.17,7.38,5.49,1.95,23.99,11.12,1.3442620502254916,0.17535969646045896,False,False,True,False,False,False,False,False,False,False,False,False,False,False,97
10.06,3.5,7.55,2.89,24.0,12.950000000000001,0.4635760975395897,0.22316600593312697,True,False,False,False,False,False,True,False,False,False,False,False,False,False,76
8.87,8.25,5.49,1.39,24.0,10.26,1.5027319667154886,0.1354775696415624,False,False,False,False,False,False,True,False,False,False,False,False,False,False,73
10.16,4.14,8.53,1.17,24.0,11.33,0.4853457813193692,0.10326565725810616,False,False,False,False,False,False,False,False,False,False,False,True,False,False,83
9.89,4.74,6.88,2.48,23.990000000000002,12.370000000000001,0.6889533882335191,0.20048502825505027,True,True,False,False,False,False,False,False,False,False,False,False,False,False,88
7.21,9.24,4.54,3.0,23.99,10.21,2.035241842457744,0.293829550065666,True,False,False,False,False,False,False,False,False,False,False,True,False,False,87
10.47,1.68,9.87,1.98,24.0,12.450000000000001,0.1702127487119809,0.15903613180432677,True,False,False,False,False,False,False,False,True,False,False,False,False,False,71
8.64,5.0,9.56,0.79,23.990000000000002,9.43,0.523012497592835,0.08377517669404277,False,False,False,True,False,False,False,False,False,False,False,False,False,False,66
8.83,8.31,5.77,1.09,24.0,9.92,1.4402077226676393,0.1098790211815503,True,False,True,False,False,False,False,False,False,False,False,False,False,False,84
7.06,9.66,6.92,0.35,23.990000000000002,7.409999999999999,1.3959535554980411,0.04723346191181351,False,False,False,False,False,False,False,False,False,True,False,False,False,False,84
9.63,3.85,7.52,3.0,24.0,12.63,0.5119680170255296,0.23752967240461817,False,False,False,False,False,False,False,False,False,False,False,False,False,True,94
4.22,10.08,8.12,1.58,24.0,5.8,1.2413791574656212,0.272413746135561,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90
